# Behavior Recording - Load Cell Log
# Channel: Load Cell 1
# Serial port: /dev/cu.usbserial-210
# Baud rate: 115200
# Samples: 828
# Duration (s): 10.182
# Average sample rate (Hz): 81.32
Time (s),Value
9.7644,319179
9.7761,318688
9.7884,318354
9.8022,318446
9.8130,318527
9.8254,318689
9.8407,318919
9.8502,319037
9.8623,319165
9.8925,319082
9.8930,318797
9.8993,318422
9.9117,318590
9.9274,318662
9.9362,319083
9.9484,318981
9.9679,318650
9.9747,318564
9.9854,318569
10.0064,318712
10.0125,318543
10.0222,318732
10.0347,318715
10.0578,318911
10.0637,319080
10.0715,318957
10.0869,318733
10.0962,318788
10.1084,319255
10.1281,318678
10.1344,318277
10.1453,318578
10.1669,319095
10.1730,319011
10.1823,319103
